plate,latency_ms
ABC0001,10.182
ABC0002,10.303
ABC0003,10.263
ABC0004,10.272
ABC0005,10.393
ABC0006,10.429
ABC0007,10.475
ABC0008,10.500
ABC0009,10.543
ABC0010,10.537
ABC0011,10.554
ABC0012,10.507
ABC0013,10.411
ABC0014,10.427
ABC0015,10.487
ABC0016,10.566
ABC0017,10.396
ABC0018,10.306
ABC0019,10.343
ABC0020,10.384
ABC0021,10.292
ABC0022,10.282
ABC0023,10.658
ABC0024,10.580
ABC0025,10.550
ABC0026,10.646
ABC0027,10.724
ABC0028,10.837
ABC0029,10.727
ABC0030,10.719
ABC0031,10.694
ABC0032,10.771
ABC0033,10.765
ABC0034,10.999
ABC0035,11.073
ABC0036,11.107
ABC0037,11.423
ABC0038,11.215
ABC0039,11.083
ABC0040,10.963
ABC0041,10.943
ABC0042,11.135
ABC0043,11.148
ABC0044,11.051
ABC0045,10.994
ABC0046,11.015
ABC0047,10.992
ABC0048,11.097
ABC0049,11.150
ABC0050,11.226
ABC0051,11.258
ABC0052,11.287
ABC0053,11.390
ABC0054,11.488
ABC0055,11.573
ABC0056,11.462
ABC0057,11.412
ABC0058,11.452
ABC0059,11.352
ABC0060,11.231
ABC0061,11.423
ABC0062,11.222
ABC0063,11.162
ABC0064,11.146
ABC0065,11.138
ABC0066,11.100
ABC0067,11.024
ABC0068,11.094
ABC0069,10.953
ABC0070,10.731
ABC0071,10.741
ABC0072,10.758
ABC0073,10.775
ABC0074,10.852
ABC0075,10.751
ABC0076,10.754
ABC0077,10.765
ABC0078,10.711
ABC0079,10.739
ABC0080,10.737
ABC0081,10.846
ABC0082,10.687
ABC0083,10.480
ABC0084,10.476
ABC0085,10.432
ABC0086,10.465
ABC0087,10.537
ABC0088,10.547
ABC0089,10.587
ABC0090,10.736
ABC0091,10.775
ABC0092,11.004
ABC0093,11.097
ABC0094,11.295
ABC0095,11.260
ABC0096,11.134
ABC0097,11.355
ABC0098,11.228
ABC0099,11.174
ABC0100,11.120
ABC0101,11.256
ABC0102,11.276
ABC0103,11.289
ABC0104,11.331
ABC0105,11.399
ABC0106,11.322
ABC0107,11.268
ABC0108,11.435
ABC0109,11.444
ABC0110,11.333
ABC0111,11.462
ABC0112,11.404
ABC0113,11.218
ABC0114,11.371
ABC0115,11.512
ABC0116,11.667
ABC0117,11.719
ABC0118,11.821
ABC0119,12.003
ABC0120,11.982
ABC0121,11.936
ABC0122,12.036
ABC0123,12.067
ABC0124,12.111
ABC0125,12.091
ABC0126,12.053
ABC0127,12.038
ABC0128,11.991
ABC0129,11.976
ABC0130,12.089
ABC0131,12.197
ABC0132,12.246
ABC0133,12.192
ABC0134,12.169
ABC0135,12.218
ABC0136,12.327
ABC0137,12.369
ABC0138,12.377
ABC0139,12.555
ABC0140,12.482
ABC0141,12.492
ABC0142,12.607
ABC0143,12.669
ABC0144,12.700
ABC0145,12.877
ABC0146,12.988
ABC0147,12.943
ABC0148,13.010
ABC0149,13.261
ABC0150,13.284
ABC0151,13.296
ABC0152,13.307
ABC0153,13.320
ABC0154,13.408
ABC0155,13.452
ABC0156,13.487
ABC0157,13.542
ABC0158,13.521
ABC0159,13.518
ABC0160,13.585
ABC0161,13.563
ABC0162,13.520
ABC0163,13.510
ABC0164,13.660
ABC0165,13.715
ABC0166,13.801
ABC0167,13.940
ABC0168,14.079
ABC0169,14.284
ABC0170,14.280
ABC0171,14.350
ABC0172,14.474
ABC0173,14.575
ABC0174,14.536
ABC0175,14.470
ABC0176,14.493
ABC0177,14.564
ABC0178,14.818
ABC0179,15.040
ABC0180,15.162
ABC0181,15.219
ABC0182,15.279
ABC0183,15.303
ABC0184,15.569
ABC0185,15.874
ABC0186,15.928
ABC0187,16.059
ABC0188,16.194
ABC0189,16.216
ABC0190,16.269
ABC0191,16.350
ABC0192,16.472
ABC0193,16.620
ABC0194,16.658
ABC0195,16.655
ABC0196,16.672
ABC0197,16.731
ABC0198,16.730
ABC0199,16.958
ABC0200,17.058
ABC0201,17.017
ABC0202,17.104
ABC0203,17.084
ABC0204,17.109
ABC0205,17.323
ABC0206,17.434
ABC0207,17.632
ABC0208,17.656
ABC0209,17.710
ABC0210,17.766
ABC0211,17.779
ABC0212,17.716
